area,happiness,average_wealth
afghanistan,3.203299999,6900.4186
albania,4.718599796,32045.7417
algeria,5.211299896,18785.7191
argentina,6.086299896,30997.9153
armenia,4.559400082,20849.2419
australia,7.228000164,226073.157
austria,7.245999813,174671.2154
azerbaijan,5.207699776,22322.7907
bahrain,6.199399948,57473.3182
bangladesh,4.455800056,14373.0461
belarus,5.322500229,12706.1488
belgium,6.922999859,220909.1915
benin,4.883200169,11251.0982
bhutan,5.082099915,21573.986
bolivia,5.779300213,39787.1886
bosnia_and_herzegovina,5.386,56998.7343
botswana,3.488399982,22102.6994
brazil,6.299799919,37705.2741
bulgaria,5.011000156,48681.8289
burkina_faso,4.586800098,8063.5197
cambodia,4.699800014,25129.6973
cameroon,5.043700218,8740.6111
canada,7.278100014,224324.2561
central_african_republic,3.082999945,4385.5676
chad,4.349500179,5490.5908
chile,6.443999767,53040.4659
china,5.190899849,81201.2911
colombia,6.124800205,13789.0434
comoros,3.972800016,12830.1014
congo,4.614799976,8304.4562
costa_rica,7.167399883,55971.9478
croatia,5.431799889,63537.8496
cyprus,6.045800209,113444.1799
czech_republic,6.852099895,90747.3426
denmark,7.60010004,209783.4238
dominican_republic,5.425300121,33870.5491
ecuador,6.027599812,10198.6885
egypt,4.165500164,21886.8271
el_salvador,6.253099918,13759.3399
estonia,5.893499851,94941.4616
ethiopia,4.28579998,7542.1029
finland,7.768899918,125947.5706
france,6.592100143,224959.3091
gabon,4.799200058,26789.593
gambia,4.516300201,3928.1592
georgia,4.519100189,10489.2855
germany,6.985000134,159531.2533
ghana,4.99630022,10894.2537
greece,5.286699772,73529.1594
guatemala,6.436200142,18018.9576
guinea,4.534399986,4988.5742
haiti,3.596899986,6777.9182
honduras,5.8604002,10674.5068
hungary,5.758299828,95576.9724
iceland,7.493599892,260316.4248
india,4.015200138,35973.094
indonesia,5.192399979,12229.9594
iran,4.547999859,17536.764
iraq,4.437200069,13217.016
ireland,7.021100044,213107.5381
israel,7.138700008,127597.6895
italy,6.223400116,190562.6824
jamaica,5.889800072,19528.4306
japan,5.886099815,181454.8692
jordan,4.905700207,18086.444
kazakhstan,5.80880022,34595.8471
kenya,4.508600235,10028.129
korea,5.89470005,174124.0752
kuwait,6.020699978,97212.2829
kyrgyzstan,5.260700226,7324.1172
lao_pdr,4.796299934,20156.4745
latvia,5.939700127,88510.189
lebanon,5.197299957,11790.4586
lesotho,3.80189991,3678.9187
liberia,3.975300074,1718.8455
libya,5.525300026,62373.379
lithuania,6.149000168,83826.9597
luxembourg,7.090300083,185916.0316
madagascar,3.932699919,4160.2288
malawi,3.409800053,1430.092
malaysia,5.338799953,40869.6714
mali,4.390399933,11027.5848
malta,6.725599766,108018.3883
mauritania,4.490300179,12142.5473
mauritius,5.888199806,30303.6718
mexico,6.594500065,61934.8032
moldova,5.52850008,7145.2359
mongolia,5.285399914,54095.468
montenegro,5.522900105,40823.8851
morocco,5.208099842,19340.4637
mozambique,4.466199875,4302.5244
myanmar,4.3604002,21380.5688
namibia,4.639200211,23269.5481
nepal,4.912700176,13095.84
netherlands,7.48759985,236235.7859
new_zealand,7.307499886,248144.2281
nicaragua,6.105000019,24765.8098
niger,4.627500057,4542.4823
nigeria,5.2645998,27727.6148
north_macedonia,5.273600101,30429.4864
norway,7.553899765,163826.4126
pakistan,5.652999878,14180.9678
palestine,4.69630003,14610.393
panama,6.32130003,45802.6693
papua_new_guinea,4.534399986,6874.7937
paraguay,5.7427001,39771.3802
peru,5.697100163,27888.1271
philippines,5.631400108,16326.6061
poland,6.18170023,47283.3947
portugal,5.692500114,162907.2019
qatar,6.374499798,63227.2588
romania,6.069699764,71490.7365
russian_federation,5.648,54113.9816
rwanda,3.333800077,4711.5947
saudi_arabia,6.374700069,116761.8411
senegal,4.681099892,6164.7444
serbia,5.603000164,12476.6016
sierra_leone,4.374199867,7772.6453
singapore,6.262000084,336027.6708
slovakia,6.197599888,76720.4389
slovenia,6.1177001,90734.2475
somalia,4.667900085,2111.2655
south_africa,4.722199917,33435.4128
south_sudan,2.852600098,450.3549
spain,6.354100227,203301.6208
sri_lanka,4.36590004,16996.6417
sudan,2.853,11747.1833
swaziland,4.211599827,9970.0475
sweden,7.343299866,190607.903
switzerland,7.480199814,363678.0099
syrian_arab_republic,3.462,9466.9444
taiwan,6.446,337026.4616
tajikistan,5.467299938,8366.7796
tanzania,3.230700016,10723.679
thailand,6.007999897,12572.1506
togo,4.084899902,3289.8073
trinidad_and_tobago,6.191899776,28488.7491
tunisia,4.460599899,15798.2357
turkey,5.372600079,39478.0687
turkmenistan,5.24669981,34298.5187
uganda,4.189400196,5046.9866
ukraine,4.33220005,17195.65
united_arab_emirates,6.824500084,244280.7273
united_kingdom,7.05369997,217417.7977
uruguay,6.293300152,54820.8536
usa,6.892,279379.8757
uzbekistan,6.174099922,19397.13
venezuela,4.706600189,3845.3466
vietnam,5.175300121,20310.2634
yemen,3.379800081,4227.1218
zambia,4.106599808,9619.5294
zimbabwe,3.663199902,87.472