area,average_wealth,hdi,gdp_capita,taxation,housing_index,desi,hicp,adult_percentage
totalaverage,122866,0.903,106,38,23,41.098,16.44547214,79
austria,174671,0.922,126,55,22.27258012,41.2194,20.69043321,80.6
belgium,220909,0.931,118,50,15.93040217,40.0032,19.75775086,77.6
bulgaria,48682,0.816,53,10,29.24702503,28.0446,11.917706,81.1
croatia,63538,0.851,66,30,-0.487942198,35.0614,12.5382263,80.6
cyprus,113444,0.887,92,35,1.527419948,32.7206,8.704562615,78.3
czech_republic,90747,0.9,93,23,23.9539749,37.1864,17.81420765,79.7
denmark,209783,0.94,127,55,12.01360834,52.0512,11.29207383,77.6
estonia,94941,0.892,82,20,55.41581109,46.5732,29.05863116,79
finland,125948,0.938,109,56,11.04560968,54.1421,15.96506941,78.6
france,224959,0.901,106,45,8.647990256,39.4645,13.53310255,75.8
germany,159531,0.947,121,45,24.03846154,38.3493,15.17467249,81.6
greece,73529,0.888,66,44,-19,25.526,8.068769117,80.6
hungary,95577,0.854,73,15,37.36870601,32.184,28.12829217,80.5
iceland,260316,0.949,126,46,92.57962898,49,27.48779572,74.9
ireland,213108,0.955,190,48,29.05195382,46.6974,3.987730061,72.9
italy,190563,0.892,96,43,0.68359375,34.3431,13.28210757,82
latvia,88510,0.866,69,31,32.57839721,40.9838,15.32249495,79.5
lithuania,83827,0.882,84,20,28.87576461,42.191,19.84891614,80
luxembourg,185916,0.916,254,45,38.26698424,47.7293,19.08937605,78.5
malta,108018,0.895,103,35,21.32601351,47.4457,17.33185103,81.8
netherlands,236236,0.944,128,49,23.60506529,50.5224,15.98684211,78.1
norway,163826,0.957,145,38,29.44308853,50,22.93274531,76.4
poland,47283,0.88,73,32,10.16949153,29.7769,16.05758583,79.9
portugal,162907,0.864,79,48,23.4235161,40.3123,12.78955954,80.9
romania,71491,0.828,69,10,18.00395071,22.3651,30.7738815,79
slovakia,76720,0.86,69,25,13.34550248,33.2521,16.78198792,79.4
slovenia,90734,0.917,88,50,13.2623034,40.8862,14.28726759,80.5
spain,203302,0.904,91,47,21.75396348,47.037,13.0925263,80.3
sweden,190608,0.945,119,52,31.80100756,51.9633,12.99799218,76.7
switzerland,363678,0.955,156,40,33.07086614,51,0.635109656,80
united_kingdom,217418,0.932,107,45,17.5677111,46,24.48036952,76.6
russian_federation,54114,,,,,,,
ukraine,17196,,,,,,,
albania,32046,,,,,,,
bosnia_and_herzegovina,56999,,,,,,,
montenegro,40824,,,,,,,
north_macedonia,30429,,,,,,,
belarus,12706,,,,,,,
serbia,12477,,,,,,,
moldova,7145,,,,,,,